postcode,name,longitude,latitude
"AB10","Altens, Aberdeen City",57.135,-2.117
"AB11","Altens, Aberdeen City",57.138,-2.092
"AB12","Altens, Aberdeen City",57.101,-2.111
"AB13","Altens, Aberdeen City",57.108,-2.237
"AB14","Altens, Aberdeen City",57.101,-2.27
"AB15","Altens, Aberdeen City",57.138,-2.164
"AB16","Altens, Aberdeen City",57.161,-2.156
"AB21","Aberdeen, Aberdeen City",57.21,-2.2
"AB22","Danestone, Aberdeen City",57.187,-2.119
"AB23","Balmedie, Aberdeenshire",57.212,-2.088
"AB25","Aberdeen, Aberdeen City",57.153,-2.112
"AB30","Arbuthnott, Aberdeenshire",56.847,-2.477
"AB31","Auchattie, Aberdeenshire",57.074,-2.527
"AB32","Achath, Aberdeenshire",57.156,-2.317
"AB33","Alford, Aberdeenshire",57.225,-2.741
"AB34","Aboyne, Aberdeenshire",57.094,-2.812
"AB35","Allanaquoich, Aberdeenshire",57.038,-3.149
"AB36","Badenyon, Aberdeenshire",57.197,-3.067
"AB37","Auchbreck, Moray",57.331,-3.351
"AB38","Archiestown, Moray",57.486,-3.225
"AB39","Borrowfield, Aberdeenshire",56.978,-2.217
"AB41","Ardo, Aberdeenshire",57.376,-2.105
"AB42","Aldie, Aberdeenshire",57.501,-1.888
"AB43","Bogfold, Aberdeenshire",57.658,-2.043
"AB44","Macduff, Aberdeenshire",57.669,-2.492
"AB45","Ardiecow, Moray",57.651,-2.566
"AB51","Auchorrie, Aberdeenshire",57.289,-2.405
"AB52","Ardlair, Aberdeenshire",57.344,-2.607
"AB53","Auchininna, Aberdeenshire",57.525,-2.393
"AB54","Aberchirder, Aberdeenshire",57.454,-2.763
"AB55","Achnastank, Moray",57.524,-2.99
"AB56","Arradoul, Moray",57.675,-2.926
"AL1","St Albans, Hertfordshire",51.748,-0.322
"AL10","Hatfield, Hertfordshire",51.76,-0.23
"AL2","Bricket Wood, Hertfordshire",51.72,-0.333
"AL3","",51.778,-0.37
"AL4","Blackmore End, Hertfordshire",51.772,-0.294
"AL5","Harpenden, Hertfordshire",51.816,-0.351
"AL6","Ayot St Lawrence, Hertfordshire",51.831,-0.197
"AL7","Hatfield Hyde, Hertfordshire",51.797,-0.186
"AL8","Cromer Hyde, Hertfordshire",51.803,-0.209
"AL9","Bell Bar, Hertfordshire",51.745,-0.199
"B1","Birmingham, West Midlands",52.478,-1.907
"B10","",52.47,-1.851
"B11","",52.454,-1.858
"B12","",52.46,-1.882
"B13","Moseley, West Midlands",52.437,-1.878
"B14","",52.417,-1.889
"B15","Chad Valley, West Midlands",52.467,-1.924
"B16","",52.476,-1.933
"B17","Harborne, West Midlands",52.461,-1.961
"B18","",52.491,-1.924
"B19","",52.496,-1.905
"B2","Birmingham, West Midlands",52.479,-1.897
"B20","",52.514,-1.918
"B21","Handsworth, West Midlands",52.506,-1.939
"B23","Gravelly Hill, West Midlands",52.528,-1.854
"B24","Erdington, West Midlands",52.519,-1.827
"B25","Hay Mills, West Midlands",52.465,-1.82
"B26","Elmdon, West Midlands",52.461,-1.79
"B27","",52.445,-1.822
"B28","Hall Green, West Midlands",52.427,-1.842
"B29","Bournbrook, West Midlands",52.437,-1.947
"B3","Birmingham, West Midlands",52.48,-1.902
"B30","Bournville, West Midlands",52.422,-1.927
"B31","Longbridge, West Midlands",52.408,-1.972
"B32","Frankley, Hereford and Worcester",52.448,-1.993
"B33","Tile Cross, West Midlands",52.48,-1.787
"B34","",52.496,-1.781
"B35","",52.519,-1.788
"B36","Castle Bromwich, West Midlands",52.504,-1.779
"B37","Marston Green, West Midlands",52.478,-1.741
"B38","",52.4,-1.933
"B4","Birmingham, West Midlands",52.482,-1.894
"B40","",52.459,-1.722
"B42","Perry Barr, West Midlands",52.533,-1.911
"B43","Great Barr, West Midlands",52.548,-1.929
"B44","Kingstanding, West Midlands",52.545,-1.884
"B45","Barnt Green, Hereford and Worcester",52.388,-2.009
"B46","Coleshill, Warwickshire",52.508,-1.694
"B47","Drakes Cross, Hereford and Worcester",52.387,-1.88
"B48","Alvechurch, Hereford and Worcester",52.355,-1.948
"B49","Alcester, Warwickshire",52.217,-1.867
"B5","Birmingham, West Midlands",52.47,-1.896
"B50","Barton, Warwickshire",52.169,-1.854
"B6","Aston, West Midlands",52.504,-1.885
"B60","Aston Fields, Hereford and Worcester",52.326,-2.049
"B61","Bournheath, Hereford and Worcester",52.345,-2.067
"B62","Illey, West Midlands",52.456,-2.032
"B63","Cradley, West Midlands",52.452,-2.067
"B64","Old Hill, West Midlands",52.472,-2.068
"B65","Blackheath, West Midlands",52.483,-2.042
"B66","Smethwick, West Midlands",52.493,-1.964
"B67","",52.486,-1.977
"B68","Warley, West Midlands",52.479,-2
"B69","Oldbury, West Midlands",52.502,-2.028
"B7","",52.493,-1.873
"B70","West Bromwich, West Midlands",52.52,-2.003
"B71","Bird End, West Midlands",52.535,-1.989
"B72","Wylde Green, West Midlands",52.552,-1.821
"B73","",52.552,-1.841
"B74","Four Oaks, West Midlands",52.583,-1.858
"B75","Canwell Hall, Staffordshire",52.578,-1.809
"B76","Curdworth, Warwickshire",52.545,-1.785
"B77","Amington, Staffordshire",52.618,-1.667
"B78","Bonehill, Staffordshire",52.606,-1.673
"B79","Alvecote, Warwickshire",52.65,-1.681
"B8","Saltley, West Midlands",52.49,-1.84
"B80","Gorcott Hill, Warwickshire",52.277,-1.895
"B9","",52.478,-1.849
"B90","Shirley, West Midlands",52.4,-1.824
"B91","Blossomfield, West Midlands",52.413,-1.782
"B92","Bickenhill, West Midlands",52.436,-1.774
"B93","Barston, West Midlands",52.38,-1.743
"B94","Earlswood, Warwickshire",52.351,-1.791
"B95","Aston Cantlow, Warwickshire",52.285,-1.779
"B96","Astwood Bank, Hereford and Worcester",52.252,-1.96
"B97","Crabbs Cross, Hereford and Worcester",52.299,-1.954
"B98","Beoley, Hereford and Worcester",52.303,-1.914
"BA1","Bath, Bath Avon",51.391,-2.36
"BA10","Bruton, Somerset",51.113,-2.446
"BA11","Berkley, Somerset",51.236,-2.325
"BA12","Barrow Street, Wiltshire",51.171,-2.187
"BA13","Bratton, Wiltshire",51.262,-2.179
"BA14","Ashton Common, Wiltshire",51.318,-2.201
"BA15","Bradford Leigh, Wiltshire",51.351,-2.265
"BA16","Overleigh, Somerset",51.125,-2.743
"BA2","Bathampton, Bristol Avon",51.36,-2.377
"BA20","Yeovil, Somerset",50.938,-2.642
"BA21","Mudford, Somerset",50.951,-2.633
"BA22","Ashington, Somerset",50.968,-2.637
"BA3","Ashwick, Somerset",51.275,-2.473
"BA4","Alhampton, Somerset",51.171,-2.531
"BA5","Bleadney, Somerset",51.212,-2.653
"BA6","Baltonsborough, Somerset",51.141,-2.705
"BA7","Alford, Somerset",51.089,-2.518
"BA8","Abbas Combe, Somerset",50.999,-2.411
"BA9","Barrow, Somerset",51.057,-2.409
"BB1","Belthorn, Lancashire",53.756,-2.462
"BB10","Brierfield, Lancashire",53.799,-2.219
"BB11","Burnley, Lancashire",53.783,-2.252
"BB12","Barley, Lancashire",53.803,-2.29
"BB18","Belthorn, Lancashire",53.914,-2.171
"BB2","Balderstone, Lancashire",53.741,-2.5
"BB3","Darwen, Lancashire",53.698,-2.465
"BB4","Crawshawbooth, Lancashire",53.703,-2.29
"BB5","Accrington, Lancashire",53.754,-2.371
"BB6","Great Harwood, Lancashire",53.792,-2.417
"BB7","Barrow, Lancashire",53.874,-2.386
"BB8","Barnoldswick, Lancashire",53.858,-2.163
"BB9","Barrowford, Lancashire",53.837,-2.214
"BD1","Bradford, West Yorkshire",53.796,-1.752
"BD10","Bradford, West Yorkshire",53.832,-1.725
"BD11","Adwalton, West Yorkshire",53.751,-1.676
"BD12","Low Moor, Bradford",53.746,-1.761
"BD13","Cullingworth, West Yorkshire",53.786,-1.859
"BD14","Clayton, West Yorkshire",53.782,-1.816
"BD15","Allerton, West Yorkshire",53.81,-1.836
"BD16","Bingley, West Yorkshire",53.849,-1.833
"BD17","Baildon, West Yorkshire",53.847,-1.767
"BD18","Shipley, West Yorkshire",53.831,-1.776
"BD19","Cleckheaton, West Yorkshire",53.727,-1.712
"BD2","",53.814,-1.734
"BD20","Cononley, North Yorkshire",53.897,-1.947
"BD21","Ingrow, West Yorkshire",53.864,-1.906
"BD22","Cowling, North Yorkshire",53.846,-1.952
"BD23","Airton, North Yorkshire",53.993,-2.054
"BD24","Cleatop, North Yorkshire",54.077,-2.274
"BD3","",53.798,-1.727
"BD4","Bierley, West Yorkshire",53.776,-1.718
"BD5","",53.778,-1.758
"BD6","Buttershaw, West Yorkshire",53.765,-1.783
"BD7","",53.783,-1.782
"BD8","",53.801,-1.781
"BD9","",53.812,-1.789
"BH1","",50.724,-1.86
"BH10","",50.759,-1.891
"BH11","Bearwood, Poole",50.761,-1.917
"BH12","Branksome, Poole",50.737,-1.926
"BH13","Branksome Park, Poole",50.71,-1.917
"BH14","Lilliput, Poole",50.721,-1.944
"BH15","Longfleet, Poole",50.722,-1.984
"BH16","Holton Heath, Dorset",50.738,-2.044
"BH17","Waterloo, Poole",50.746,-1.975
"BH18","Broadstone, Poole",50.758,-1.993
